,Brand,Type,Title,Describe,Price,Year,Distance
0,Mercedes-Benz,GLC GLC300 2018款 2.0L,Mercedes-Benz GLC GLC300 2018款 2.0L,Sam國際車庫 四輪傳動 23P LED頭燈 全景天窗 自動停車 360度環景,178,2017,2.5萬km
1,BMW,3-Series Sedan M340i XDrive 2020款 3.0L,BMW 3-Series Sedan M340i XDrive 2020款 3.0L,坦桑尼亞藍寶石/原廠認證車/50萬豪華選配/可享新車保固/設有全能保修廠,電洽,2019,8000km
2,Mercedes-Benz,E-Class Sedan E300 2018款 2.0L,Mercedes-Benz E-Class Sedan E300 2018款 2.0L,未領牌/AMG/P20進階駕駛/多光束頭燈/抬頭顯示器/四輪傳動/新車保固,電洽,2017,4.0萬km
3,Nissan,Juke 2016款 1.6L,Nissan Juke 2016款 1.6L,全車系全額貸款貸款利率優惠中/月付超低/信用小白/瑕疵強力過件,42,2016,8.0萬km
4,Mercedes-Benz,CLA CLA250 2020款 2.0L,Mercedes-Benz CLA CLA250 2020款 2.0L,Benz CLA250 AMG 夜色套件 全景天窗 真皮座椅 弘達桃園,188,2019,3.7萬km
5,Mercedes-Benz,GLC GLC300 2019款 2.0L,Mercedes-Benz GLC GLC300 2019款 2.0L,Benz GLC300 4 MATIC AMG 低里程 柏林音響 桃園弘達,199,2019,5000km
6,Mercedes-Benz,C-Class Sedan AMG C43 2019款 3.0L,Mercedes-Benz C-Class Sedan AMG C43 2019款 3.0L,Benz C43 AMG 小改款 全液晶螢幕 賽車椅 23P 跑車排氣管,268,2019,5000km
7,Luxgen,U6 Turbo ECO Hyper 2018款 1.8L,Luxgen U6 Turbo ECO Hyper 2018款 1.8L,超狂價差40萬起跳★★免頭款★免保人【FB搜尋:圓夢中古車s小謝嚴選-認證車】,24.8,2017,4.0萬km
8,BMW,5-Series Sedan 540i M Sport 2017款 3.0L,BMW 5-Series Sedan 540i M Sport 2017款 3.0L,G30 540i M版 5AT 抬頭顯示器 360度環景 弘達桃園#77660,195,2016,5.9萬km
9,BMW,3-Series Sedan 330i 2019款 2.0L,BMW 3-Series Sedan 330i 2019款 2.0L,G20 330i 超低里程 5AS 天窗 三區恆溫 弘達桃園#26009,165,2019,3.1萬km
10,Toyota,Yaris 2016款 1.5L,Toyota Yaris 2016款 1.5L,超貸找現金/小車大空間/省油省稅金/保值車款,29,2016,8.0萬km
11,Mercedes-Benz,C-Class Sedan AMG C300 2017款 2.0L,Mercedes-Benz C-Class Sedan AMG C300 2017款 2.0L,Sam國際車庫 AMG 23P 自動停車 前後雷達 全景 盲點 摸門 免鑰,157,2017,5.3萬km
12,Toyota,Corolla Altis 2020款 1.8L,Toyota Corolla Altis 2020款 1.8L,【主打百分之百過件全額貸款】ＦＢ搜尋 ：宇安嚴選中古車,58.8,2020,5000km
13,Suzuki,Swift 2019款 1.1L以下,Suzuki Swift 2019款 1.1L以下,【主打全額貸】 0元把車帶回家 ＦＢ搜尋 宇安嚴選中古車,38.8,2019,1.0萬km
14,Mercedes-Benz,GLC GLC300 2018款 2.0L,Mercedes-Benz GLC GLC300 2018款 2.0L,19吋AMG鋼圈，AMG夜色套件，LED頭燈，環景倒車影像，電尾門，停車輔助雷達,電洽,2018,4.5萬km
15,Mercedes-Benz,C-Class Sedan AMG C300 2016款 2.0L,Mercedes-Benz C-Class Sedan AMG C300 2016款 2.0L,Sam國際車庫 柏林之音 夜色套件 冷熱通風 全景 designo內裝,電洽,2016,5.1萬km
16,Toyota,Yaris 2008款 1.5L,Toyota Yaris 2008款 1.5L,✔️一手車✔️雙證件核貸✔️免頭款全額貸✔️低利率✔️實車實價,15.8,2008,10.0萬km
17,Ford,Focus 2017款 1.5L,Ford Focus 2017款 1.5L,『主打呼吸專案 百分之百強力過件』、『軍公教2.88%起』,39.8,2017,4.5萬km
18,Mercedes-Benz,E-Class Coupe E200 2014款 2.0L,Mercedes-Benz E-Class Coupe E200 2014款 2.0L,【七期市政】成功人生的代名詞 - C207 E200 Coupe 小改款車型,109.8,2014,2.6萬km
19,BMW,3-Series Coupe 320i 2012款 2.0L,BMW 3-Series Coupe 320i 2012款 2.0L,【七期市政】美學精萃、魅力昇華 E92 320ci Facelift 小改款車型,69.8,2012,2.1萬km
20,Toyota,Corolla Altis 2020款 1.8L,Toyota Corolla Altis 2020款 1.8L,『主打呼吸專案 百分之百強力過件』、『軍公教2.88%起』,48.8,2020,1.7萬km
21,BMW,4-Series Coupe 440i M Sport 2021款 3.0L,BMW 4-Series Coupe 440i M Sport 2021款 3.0L,BMW M440i 到港全新車 電尾門 2020年 弘達國際 #F10658,318,2020,100km
22,Honda,Fit 2018款 1.5L,Honda Fit 2018款 1.5L,全車系全額貸款貸款利率優惠中/月付超低/信用小白/瑕疵強力過件,43,2018,2.0萬km
23,Mercedes-Benz,GLC GLC300 2017款 2.0L,Mercedes-Benz GLC GLC300 2017款 2.0L,Benz 正17GLC300 AMG 雙魚眼頭燈 自動停車系統 全景天窗,168,2017,5.2萬km
24,Mercedes-Benz,A-Class A250 2020款 2.0L,Mercedes-Benz A-Class A250 2020款 2.0L,BENZ 正20 A250 AMG 夜色套件 天窗 雙液晶螢幕 桃園弘達,183,2020,1000km
25,Mercedes-Benz,GLC GLC300 2017款 2.0L,Mercedes-Benz GLC GLC300 2017款 2.0L,Benz GLC300 AMG LED頭燈 自動停車系統 全景天窗,153,2016,9.5萬km
26,Mercedes-Benz,GLC GLC300 2020款 2.0L,Mercedes-Benz GLC GLC300 2020款 2.0L,Benz 正20 GLC300 AMG 低里程 全景天窗 360環景 自動停車,222,2020,1.2萬km
27,Hyundai,Elantra 2013款 1.8L,Hyundai Elantra 2013款 1.8L,旗艦款 可0元頭期款 可全額貸款 信用空白瑕疵皆可辦理,24.8,2012,11.7萬km
28,Volkswagen,Golf GTI 2018款 2.0L,Volkswagen Golf GTI 2018款 2.0L,GTI 7.5代 原廠保固中 全新VVS閥門排氣管 里程保證 可全額貸款,95.8,2017,5.3萬km
29,Honda,Civic 2012款 1.8L,Honda Civic 2012款 1.8L,RR空力套件 里程保證 0元頭期款 可全額貸款 超額貸款 信用空白瑕疵皆可,26.5,2011,11.3萬km
30,Volkswagen,Golf 2012款 1.6L,Volkswagen Golf 2012款 1.6L,全新R前保桿&GTI頭燈&R20LED尾燈&全新後流水方向燈 可0元頭期全額貸款,23.5,2011,10.6萬km
31,Volkswagen,Golf GTI 2017款 2.0L,Volkswagen Golf GTI 2017款 2.0L,限量款白色Clubsport 精品改裝 蠍子管 Eventuri進氣系統 里程低,128.8,2016,2.2萬km
32,Toyota,Vios 2017款 1.5L,Toyota Vios 2017款 1.5L,~實車實價【泰洋】聯盟五大保固 一手車 里程保證 安卓機 認證車 零頭款 可全貸,33.8,2017,11.0萬km
33,Toyota,Innova 2016款 2.0L,Toyota Innova 2016款 2.0L,~實車實價【泰洋】聯盟五大保固 一手車 里程保證 安卓機 認證車 零頭款 可全貸,37.8,2015,6.4萬km
34,Suzuki,Swift 2009款 1.5L,Suzuki Swift 2009款 1.5L,FB搜尋:【金美麗汽車廣場】『免頭款、全額貸』 我的用心 讓你放心,10,2009,6.0萬km
35,Maserati,Quattroporte 2017款 3.0L,Maserati Quattroporte 2017款 3.0L,駿岳-小魏 總代理 一手車 快樂波特SQ4 選配H/K音響 方向盤 原木飾板,268,2016,5.0萬km
36,Porsche,718 Boxster 2017款 2.0L,Porsche 718 Boxster 2017款 2.0L,Porsche 718Boxster 前後雷達 17年弘達國際 #21933,258,2017,6.2萬km
37,BMW,X3 SDrive30i 2019款 2.0L,BMW X3 SDrive30i 2019款 2.0L,BMW X3 30i Msport運動版 全景 19年 弘達國際 #F33566,185,2018,3.4萬km
38,Toyota,Sienna 2021款 2.5L,Toyota Sienna 2021款 2.5L,【滿吉國際】LE 菁英版 八人座 & 全新車 & 自動跟車系統 & 盲點偵測,195.8,2021,174km
39,BMW,M3 Sedan 手排版 2017款 3.0L,BMW M3 Sedan 手排版 2017款 3.0L,【滿吉國際】Competition競技版 x 左3右6 x 陶瓷煞車 x H/K,286.8,2017,3.2萬km
40,Mercedes-Benz,GLC GLC300 2017款 2.0L,Mercedes-Benz GLC GLC300 2017款 2.0L,BENZ GLC300 AMG 全景 盲點 免鑰 17年 弘達國際#246321,152,2017,8.0萬km
41,BMW,M6 Gran Coupe 2013款 4.4L,BMW M6 Gran Coupe 2013款 4.4L,BMW M6 GranCoupe 13年 弘達國際 #73342,電洽,2013,7.6萬km
42,BMW,7-Series 740i M Sport 2016款 3.0L,BMW 7-Series 740i M Sport 2016款 3.0L,BMW 740Msport 稀有高級四座沙發 16年 弘達國際 #547974,248,2016,6.1萬km
43,BMW,M4 Coupe 2015款 3.0L,BMW M4 Coupe 2015款 3.0L,自售 2015 總代理 BMW M4 精品內外改裝 無事故,電洽,2014,6.0萬km
44,BMW,X4 XDrive30i M Sport 2021款 2.0L,BMW X4 XDrive30i M Sport 2021款 2.0L,BMW X4 Msport 5AU 全新車 21年 弘達國際 #16260,268,2020,100km
45,Mercedes-Benz,GLC GLC300 2020款 2.0L,Mercedes-Benz GLC GLC300 2020款 2.0L,【滿吉國際】GLC300 AMG & 全景天窗 & 低里程 & 夜色套件,228.8,2020,5230km
46,Mercedes-Benz,GLC GLC300 2017款 2.0L,Mercedes-Benz GLC GLC300 2017款 2.0L,BENZ GLC300 AMG 23P 雙魚眼 17年 弘達國際#005014,175,2017,7.9萬km
47,BMW,M5 Sedan 2012款 4.4L,BMW M5 Sedan 2012款 4.4L,自售 西裝暴徒 BMW M5  無事故 無待修 可換同級車  Ghibli,電洽,2011,9.0萬km
48,Porsche,Panamera4 Sport Turismo 2020款 3.0L,Porsche Panamera4 Sport Turismo 2020款 3.0L,【滿吉國際】20年式 Panamera 4 Sport Turismo總代理,電洽,2019,8000km
49,BMW,1-Series Hatchback 116i 2014款 1.6L,BMW 1-Series Hatchback 116i 2014款 1.6L,"自售非常新很乾淨的車,無任何事故問題",63.8,2014,12.0萬km
50,Mercedes-Benz,C-Class Sedan C300 2019款 2.0L,Mercedes-Benz C-Class Sedan C300 2019款 2.0L,【滿吉國際】C300 & 低里程 & 免鑰匙 & 盲點偵測 & 電熱椅,179.8,2019,5421km
51,Mercedes-Benz,E-Class Sedan E300 2018款 2.0L,Mercedes-Benz E-Class Sedan E300 2018款 2.0L,【滿吉國際】E300 AMG & 優質加州車 & 夜色套件 & 全景天窗,190.8,2018,3.4萬km
52,Toyota,Sienna 2021款 2.5L,Toyota Sienna 2021款 2.5L,【滿吉國際】LE 菁英版 八人座 & 7/10到店 & 自動跟車系統 & 盲點,195.8,2021,154km
53,BMW,3-Series Sedan M340i XDrive 2020款 3.0L,BMW 3-Series Sedan M340i XDrive 2020款 3.0L,BMW M340i 5AU滿配 雷射頭燈 20年 弘達國際 #83376,278,2019,7000km
54,BMW,3-Series Sedan 330i 2019款 2.0L,BMW 3-Series Sedan 330i 2019款 2.0L,【滿吉國際】G20 330i Sport Line & 5AS & 免鑰匙,168.8,2019,2.3萬km
55,BMW,M5 Sedan 2018款 4.4L,BMW M5 Sedan 2018款 4.4L,BMW M5 F90 消光銀 全車犀牛皮貼膜 18年 弘達國際 #83374,398,2018,2.2萬km
56,Toyota,Corolla Altis 2010款 1.8L,Toyota Corolla Altis 2010款 1.8L,跑6萬而已!省油好開0故障冠軍房車~豐田ALTIS1800cc~ 高雄麻吉課長,25.5,2009,6.0萬km
57,BMW,M4 Coupe 2017款 3.0L,BMW M4 Coupe 2017款 3.0L,【滿吉國際】Competition競技版 x 左3右6 x 陶瓷煞車 x H/K,288.8,2017,5.6萬km
58,Toyota,Yaris 2018款 1.5L,Toyota Yaris 2018款 1.5L,不好意思同業 新北最大盤商!就是盤給客人 快就好 ! 保證實車實價 可全額貸款,39.8,2018,2.1萬km
59,Mercedes-Benz,GLC GLC300 2020款 2.0L,Mercedes-Benz GLC GLC300 2020款 2.0L,【滿吉國際】GLC300 AMG 4Matic & 全景 & 環景 & 柏林 &,228.8,2020,2.3萬km
60,Toyota,Sienna 2021款 2.5L,Toyota Sienna 2021款 2.5L,"【滿吉國際】LTD 7/10到店,車測中,限量版七人座",253.8,2021,171km
61,Toyota,Sienna 2021款 2.5L,Toyota Sienna 2021款 2.5L,"【滿吉國際】LE 6/30到店,車測中,菁英版 八人座",195.8,2021,152km
62,BMW,3-Series Sedan 330i M Sport 2019款 2.0L,BMW 3-Series Sedan 330i M Sport 2019款 2.0L,【滿吉國際】330i M-Sport x 雷射頭燈 x 環景影像 x H/K音響,185.8,2019,4.3萬km
63,BMW,3-Series Sedan 330i 2019款 2.0L,BMW 3-Series Sedan 330i 2019款 2.0L,BMW 330i M3樣式 前後雷達 天窗 19年 弘達國際 #78984,170,2019,3.4萬km
64,BMW,i8 Roadster 2019款 1.5L,BMW i8 Roadster 2019款 1.5L,BMW i8敞篷 市場唯一 路上焦點 19年 弘達國際 #94545,618,2019,3000km
65,Porsche,Panamera 2018款 3.0L,Porsche Panamera 2018款 3.0L,Porsche PANAMERA4 自動吸門 現車在店 18年弘達國際,388,2018,2.9萬km
66,Porsche,718 Cayman 2020款 2.0L,Porsche 718 Cayman 2020款 2.0L,永業總代理 718 CAYMAN 邁阿密藍，19吋，跑計，跑排，Car Play,電洽,2020,3700km
67,BMW,X5 XDrive35i 2012款 3.0L,BMW X5 XDrive35i 2012款 3.0L,自售，BMW X5 E70小改款，已回原廠安檢，無任何待修，換購新車求售。,85,2011,12.8萬km
68,Toyota,Sienna 2021款 2.5L,Toyota Sienna 2021款 2.5L,"【滿吉國際】LTD 7/10 到店,車測中,限量版七人座",258.8,2021,154km
69,BMW,5-Series Touring 530i M Sport 2018款 2.0L,BMW 5-Series Touring 530i M Sport 2018款 2.0L,自售 2018 總代理 BMW G31 530i M Sport 全景 自動跟車,電洽,2017,6.0萬km
70,Toyota,Wish 2013款 2.0L,Toyota Wish 2013款 2.0L,買車送✅10寸安卓機,29.8,2013,8.2萬km
71,Porsche,Macan 2018款 2.0L,Porsche Macan 2018款 2.0L,未領牌/全景/真皮內裝/通風記憶座椅/BOSE音響/新車保固/全省售服據點,電洽,2018,4.0萬km
72,Mercedes-Benz,A-Class A250 2019款 2.0L,Mercedes-Benz A-Class A250 2019款 2.0L,賓士 A250 可全額貸款,158,2018,2.0萬km
73,Mercedes-Benz,GLC GLC300 2017款 2.0L,Mercedes-Benz GLC GLC300 2017款 2.0L,GLC300升級 20款GLC43樣式 360環景 駐車雷達 原廠認證 大螢幕,176,2017,5.6萬km
74,Suzuki,Vitara 2019款 1.4L,Suzuki Vitara 2019款 1.4L,2019年 Vitara 1.4 頂級版,69.8,2019,1.0萬km
75,BMW,4-Series Gran Coupé 428i 2016款 2.0L,BMW 4-Series Gran Coupé 428i 2016款 2.0L,ＢＭＷ　４２８　２０１６年　可全額貸款,128,2016,7.0萬km
76,Hyundai,Santa Fe 2013款 2.2L,Hyundai Santa Fe 2013款 2.2L,"自售車~特級7人座山土匪~整車精緻改裝,空間大,舒適,紮實底盤",電洽,2012,10.7萬km
77,Mercedes-Benz,E-Class Sedan E300 2017款 2.0L,Mercedes-Benz E-Class Sedan E300 2017款 2.0L,P20自動跟車系統，環景倒車影像，抬頭，LED智慧頭燈，動態座椅，香噴，P3套件,電洽,2017,6.5萬km
78,Mercedes-Benz,C-Class Coupe C250 2012款 1.8L,Mercedes-Benz C-Class Coupe C250 2012款 1.8L,雙門跑車 AMG精品改裝 全台最低價63萬出售(銀行可貸90萬),63.8,2012,18.0萬km
79,Audi,A5 Coupe 2018款 2.0L,Audi A5 Coupe 2018款 2.0L,自售139萬奧迪A5雙門跑車,139,2017,3.7萬km
80,Ford,Focus 2013款 2.0L,Ford Focus 2013款 2.0L,(操控首選)自售大扭力柴油四門Focus MK3 19.8萬,19.8,2013,12.0萬km
81,Audi,A6 Avant 2011款 3.0L,Audi A6 Avant 2011款 3.0L,#誠意阿俊#A6 AVANT 3.0TQ鍛造引擎強化變速箱前車主花了60萬整理好,58.8,2010,21.0萬km
82,Volkswagen,Sharan 2015款 2.0L,Volkswagen Sharan 2015款 2.0L,#誠意阿俊#SHARAN 2.0TDI實跑11萬全車選配皮椅.DVD*3實車實圖,58.8,2014,11.0萬km
83,BMW,M4 Coupe 2017款 3.0L,BMW M4 Coupe 2017款 3.0L,柏美車庫-A.T.D 稀有黑色 M4 左3右5 卡夢頂,電洽,2016,6.0萬km
84,Mini,Cooper 2007款 1.6L,Mini Cooper 2007款 1.6L,自售實車實價mini 「 總代理 」 傳產董娘車庫車~,36.8,2007,15.0萬km
85,Cadillac,CTS 2008款 2.8L,Cadillac CTS 2008款 2.8L,美國經典四門轎車,18,2008,33.0萬km
86,Subaru,Legacy Wagon 2013款 2.5L,Subaru Legacy Wagon 2013款 2.5L,自售車！車況極佳，保證無撞無泡，一手車，停車庫，定期保養做美容,62.8,2013,9.8萬km
87,BMW,X1 SDrive18i 2017款 1.5L,BMW X1 SDrive18i 2017款 1.5L,汎德總代理 X1 18i 僅跑62348公里 1.5cc,98,2016,6.2萬km
88,Mercedes-Benz,A-Class A250 2020款 2.0L,Mercedes-Benz A-Class A250 2020款 2.0L,全新到港A250四輪傳動版，極致熱血小鋼炮，都會區輕便神車,189.9,2020,190km
89,Land,Rover Range Rover Evoque 2020款 2.0L,Land Rover Range Rover Evoque 2020款 2.0L,2020年 Land Rover Evoque 1st Edition 超稀有,269,2019,8000km
90,Mercedes-Benz,C-Class Coupe AMG C63 S 2017款 4.0L,Mercedes-Benz C-Class Coupe AMG C63 S 2017款 4.0L,"C63S-自售-中華賓士進口車,台灣唯一總代理車,非外匯車,9成新車庫車,無事故",286,2016,2.6萬km
91,Ford,Focus 2018款 1.5L,Ford Focus 2018款 1.5L,"Focus1.5T,Youtube搜尋【中古車很透明】網路紅不起來的阿詮！",62.8,2018,10.0萬km
92,BMW,2-Series Active Tourer 218d 2015款 2.0L,BMW 2-Series Active Tourer 218d 2015款 2.0L,BMW 218d 2.0 柴油 女用代步無菸車,75.8,2015,3.5萬km
93,Mercedes-Benz,A-Class A250 運動版 2019款 2.0L,Mercedes-Benz A-Class A250 運動版 2019款 2.0L,仁厚 2019式 A250 AMG SPORT 跟車 4MATIC 6685,160,2018,4.9萬km
94,Volvo,S90 2017款 2.0L,Volvo S90 2017款 2.0L,【七期市政】將神話與斯堪地那維亞風情完美詮釋 - S90 T5 Momentum,129.9,2016,2.0萬km
95,Mercedes-Benz,S-Class Sedan S500 2006款 5.5L,Mercedes-Benz S-Class Sedan S500 2006款 5.5L,一手車 僅跑8萬多【八德汽車】,32.8,2005,8.8萬km
96,Hyundai,Porter 2017款 2.5L,Hyundai Porter 2017款 2.5L,17年小霸王 環保五期車 六速手排 耐操好用 可全額貸 歡迎賞車~,45.8,2017,11.0萬km
97,Isuzu,Elf 2015款 3.0L,Isuzu Elf 2015款 3.0L,15年 一路發 五期環保 加長11尺半 可配合安裝尾門 已提升噸數 可全額貸款,79.8,2015,22.0萬km
98,Porsche,Panamera 2012款 3.6L,Porsche Panamera 2012款 3.6L,2012年式 總代理 Porsche Panamera 里程保證 達通盛喬,139.8,2011,4.9萬km
99,Foton,Aumark 2014款 2.8L,Foton Aumark 2014款 2.8L,14年福田歐馬可 加長11尺8 五期環保 箱高188 可提升5噸 可全額貸款,38.8,2014,14.0萬km
100,Mitsubishi,Canter/堅達 2016款 3.0L,Mitsubishi Canter/堅達 2016款 3.0L,2016年 三菱堅達 五期環保 加長版11尺半 三面都高廂 已變五噸 可全額貸款,79.8,2016,16.5萬km
101,Isuzu,Elf 2001款 3.1L,Isuzu Elf 2001款 3.1L,01年 一路發10尺半 耐操好用 馬力穩 初期創業的最愛 可全額貸款 歡迎賞車,18.8,2001,24.0萬km
102,Skoda,Superb Combi 2017款 2.0L,Skoda Superb Combi 2017款 2.0L,Sportline 特殊號牌 - 6688 原廠大保養已做 四輪新胎已換,108.8,2017,6.0萬km
103,Mercedes-Benz,GLE Coupe AMG GLE450 2016款 3.0L,Mercedes-Benz GLE Coupe AMG GLE450 2016款 3.0L,達通盛喬 2016年Benz總代理 GLE450 AMG COUPE,218.8,2016,7.4萬km
104,Mercedes-Benz,GLC GLC250 2017款 2.0L,Mercedes-Benz GLC GLC250 2017款 2.0L,達通盛喬 2017年總代理 GLC250 4MATIC AMG LINE,169.8,2017,10.0萬km
105,Ford,Econovan 2011款 2.0L,Ford Econovan 2011款 2.0L,11年 福特載卡多 五面雨棚 可配合安裝尾門 可全額貸款 歡迎賞車,18.8,2011,12.0萬km
106,Isuzu,Elf 2011款 3.0L,Isuzu Elf 2011款 3.0L,加長版11尺半 升降帆布 升降尾門 11年一路發 可全貸 歡迎賞車,59.8,2011,18.0萬km
107,Porsche,Macan 2014款 2.0L,Porsche Macan 2014款 2.0L,*駿紳車業* 14年 PORSCHE MACAN 全原廠保養 加力箱已更換,159.8,2014,5.2萬km
108,BMW,X6 XDrive35i 2008款 3.0L,BMW X6 XDrive35i 2008款 3.0L,自售家裡多的車 總代理X6 麂皮內裝黑天篷 跑少可以認證車很漂亮,65.8,2008,11.0萬km
109,Mercedes-Benz,CLA CLA250 2017款 2.0L,Mercedes-Benz CLA CLA250 2017款 2.0L,BENZ CLA250 AMG 免鑰匙 全景 魚眼 17年 弘達國際#28990,130,2016,7.1萬km
110,Mercedes-Benz,GLC GLC300 2018款 2.0L,Mercedes-Benz GLC GLC300 2018款 2.0L,BENZ 2018年 GLC300 AMG Line 柏林之音 全景天窗 環車攝,183,2018,4.5萬km
111,Isuzu,Elf 2010款 3.0L,Isuzu Elf 2010款 3.0L,10年 一路發 四期環保 標準斗10尺半 只跑22萬公里 已提升噸數 可全額貸款,59.8,2010,22.0萬km
112,Isuzu,Elf 2010款 3.0L,Isuzu Elf 2010款 3.0L,10年 一路發 四期環保 加長版11尺半 車箱三面大開 已變更噸數 可全額貸款,57.8,2010,16.0萬km
113,Ford,Kuga 2015款 2.0L,Ford Kuga 2015款 2.0L,車主自售，歡迎試車議價，里程數保證真實，柴油大扭力低油耗,57,2015,9.9萬km
114,Mitsubishi,Canter/堅達 2017款 3.0L,Mitsubishi Canter/堅達 2017款 3.0L,2017年 三菱堅達 五期環保 加長版14尺半 可提升噸數 可全額貸款歡迎賞車,97.8,2017,9.9萬km
115,Toyota,RAV4 2010款 2.4L,Toyota RAV4 2010款 2.4L,一手女用.車庫車.原版件.,31.3,2010,10.0萬km
116,Toyota,Sienna 2015款 3.5L,Toyota Sienna 2015款 3.5L,2015年 Sienna SE運動版 黑色黑內裝,99.8,2015,8.2萬km
117,Mercedes-Benz,E-Class Sedan AMG E43 2018款 3.0L,Mercedes-Benz E-Class Sedan AMG E43 2018款 3.0L,2018年 日規 E43 AMG 四傳 跟車 按摩椅 按鍵全滿,258,2017,6.0萬km
118,BMW,X1 SDrive18d 2016款 2.0L,BMW X1 SDrive18d 2016款 2.0L,BMW X1 2016年 女用一手車割愛 尋找會顧車的人,90,2016,11.4萬km
119,Honda,HR-V 2020款 1.8L,Honda HR-V 2020款 1.8L,宏霖 2020 HONDA HR-V S版~總代理~,69.8,2020,2.5萬km
